season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2022,Tilak Varma,Mumbai Indians,46,45,102.22,3,2,11.11,19,42.22,0.0429427242808881,0.2480237694694606,0.2100202257728403,0.4546055362629856,0.1164935048783233,0.3149398497839804,powerplay,Tilak Varma,2022,2487556.9016,12.660608872159292,0.1650132964346118
2018,Q de Kock,Royal Challengers Bengaluru,132,106,124.53,14,5,17.92,42,39.62,0.2753452027151793,0.3449086085885582,0.3624758827503309,0.4591152616971294,0.4181100351949326,0.6165563801005898,powerplay,Q de Kock,2018,41785692.564,1.475520309149494,0.017573054031357102
2024,RR Rossouw,Punjab Kings,82,52,157.69,16,1,32.69,24,46.15,0.1534971288865683,0.4248929504254886,0.5606949612576401,0.6509179962694521,0.3922815120071014,0.5907278569127585,powerplay,RR Rossouw,2024,88703740.0,0.6659559753768652,0.0069014924303869496
2018,C Munro,Delhi Capitals,61,32,190.63,7,4,34.38,12,37.5,0.1006027472009693,0.6613446592820266,0.7130871567348245,0.4149423138232988,0.6075610537854701,0.8060073986911271,powerplay,C Munro,2018,28354577.097,2.8426006705506643,0.0355937124047119
2014,DA Warner,Sunrisers Hyderabad,128,102,125.49,16,2,17.65,37,36.27,0.2977411926006381,0.4426586987195535,0.4251840229017041,0.2768592097295337,0.567797350827194,0.7662436957328511,powerplay,DA Warner,2014,106536011.1035,0.7192344520844163,0.007603801712641188
2025,Q de Kock,Kolkata Knight Riders,79,60,131.67,4,7,18.33,28,46.67,0.1591654903622516,0.2854612128213885,0.304735512593177,0.6887120526438579,0.2005803635742678,0.3990267084799249,powerplay,Q de Kock,2025,37782000.0,1.056129131543923,0.012044699334868887
2019,SO Hetmyer,Royal Challengers Bengaluru,34,28,121.43,3,2,17.86,13,46.43,0.0081693430018478,0.3303370489370578,0.3593478927099518,0.5646786326204176,0.1640069608033602,0.3624533057090173,powerplay,SO Hetmyer,2019,60658607.226,0.5975298845200975,0.0059995094585226505
2014,RV Uthappa,Kolkata Knight Riders,302,210,143.81,39,8,22.38,75,35.71,0.8324254142444394,0.5574948332036267,0.5660562232472888,0.2648184046299098,1.119967527069672,1.318413871975329,powerplay,RV Uthappa,2014,96850919.185,1.3612817338955323,0.016067177423196015
2014,M Vijay,Delhi Capitals,89,108,82.41,9,1,9.26,54,50.0,0.1778981774046136,0.1726182689393203,0.1753071178489653,0.5720739490470993,0.1358936947112557,0.3343400396169128,powerplay,M Vijay,2014,96850919.185,0.3452110134115221,0.0026734780811588183
2018,E Lewis,Mumbai Indians,242,160,151.25,26,13,24.38,70,43.75,0.5460729506949413,0.472823453891576,0.5000790923457031,0.5451691648664317,0.734754929597378,0.9332012745030352,powerplay,E Lewis,2018,56709154.194,1.6455919467791509,0.019814914105756688
2015,RG Sharma,Mumbai Indians,111,76,146.05,12,5,22.37,30,39.47,0.2345994310674745,0.4770604118929163,0.4817725090680705,0.435385335933352,0.5123917791010639,0.710838124006721,powerplay,RG Sharma,2015,5236600.1181,13.574420577766688,0.1770590320250532
2023,SA Yadav,Mumbai Indians,72,58,124.14,7,1,13.79,18,31.03,0.1275587075340041,0.3109020237990046,0.2340980942557962,0.3223214279184122,0.2661456919662903,0.4645920368719474,powerplay,SA Yadav,2023,2366172.2646,19.63475118961748,0.2569454459252667
2025,Priyansh Arya,Punjab Kings,318,164,193.9,39,16,33.54,52,31.71,0.658673718867706,0.566134088974233,0.5958827041587546,0.3550613950158749,0.9716348179479584,1.1700811628536154,powerplay,Priyansh Arya,2025,39881000.00000001,2.9339313529089424,0.036797620435470996
2018,N Rana,Kolkata Knight Riders,107,85,125.88,11,5,18.82,40,47.06,0.2138161690834152,0.3513713721049906,0.3816466085453518,0.614137305178875,0.3342384036109733,0.5326847485166304,powerplay,N Rana,2018,50739769.542,1.0498367519696734,0.01196175408463736
2018,DJM Short,Rajasthan Royals,43,47,91.49,5,0,10.64,18,38.3,0.0563018429860991,0.1867384555641679,0.2074060118750506,0.4316113507568198,0.1022600022876901,0.3007063471933472,powerplay,DJM Short,2018,59693846.52,0.5037476469079569,0.0047632853760078454
2024,R Ravindra,Chennai Super Kings,161,96,167.71,19,8,28.13,35,36.46,0.3285471907050013,0.4606263559245597,0.4894711725730484,0.4248065727627927,0.5859709863553149,0.7844173312609719,powerplay,R Ravindra,2024,19958341.5,3.930273120444261,0.04993125553315904
2025,AM Rahane,Kolkata Knight Riders,266,154,172.73,31,15,29.87,60,38.96,0.5499941042974815,0.4706520901287289,0.5256321983700846,0.5167570679973507,0.7568286973696825,0.9552750422753395,powerplay,AM Rahane,2025,15742500.000000002,6.068127948390278,0.07811215300926362
2018,G Gambhir,Delhi Capitals,55,56,98.21,6,1,12.5,24,42.86,0.0858357791293459,0.2189086561792981,0.2470255118514272,0.5266248612778895,0.1312969733429012,0.3297433182485583,powerplay,G Gambhir,2018,41785692.564,0.7891297188469841,0.008525151151785912
2014,V Sehwag,Punjab Kings,221,166,133.13,29,8,22.29,73,43.98,0.5835206903757733,0.4905488770742652,0.5633757796889161,0.4426352942261418,0.832819503429921,1.031265848335578,powerplay,V Sehwag,2014,61984588.2784,1.6637455809236168,0.02005421272227473
