season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2025,JC Buttler,Gujarat Titans,108,79,136.71,10,5,18.99,33,41.77
2023,AM Rahane,Chennai Super Kings,141,74,190.54,13,7,27.03,13,17.57
2025,Atharva Taide,Sunrisers Hyderabad,8,4,200.0,2,0,50.0,2,50.0
2022,JM Sharma,Punjab Kings,14,10,140.0,2,0,20.0,3,30.0
2025,D Padikkal,Royal Challengers Bengaluru,91,55,165.45,7,7,25.45,22,40.0
2014,RG Sharma,Mumbai Indians,37,40,92.5,3,2,12.5,22,55.0
2025,RM Patidar,Royal Challengers Bengaluru,46,42,109.52,4,1,11.9,14,33.33
2018,CH Morris,Delhi Daredevils,17,7,242.86,2,1,42.86,1,14.29
2016,F du Plessis,Rising Pune Supergiants,106,75,141.33,10,7,22.67,31,41.33
2014,AM Nayar,Rajasthan Royals,22,21,104.76,2,1,14.29,14,66.67
2018,H Klaasen,Rajasthan Royals,6,5,120.0,1,0,20.0,3,60.0
2025,KK Nair,Delhi Capitals,104,60,173.33,12,6,30.0,24,40.0
2015,GJ Maxwell,Kings XI Punjab,57,55,103.64,6,2,14.55,29,52.73
2014,MA Agarwal,Delhi Daredevils,71,62,114.52,8,1,14.52,28,45.16
2024,T Kohler-Cadmore,Rajasthan Royals,42,48,87.5,6,1,14.58,29,60.42
2018,K Gowtham,Rajasthan Royals,8,6,133.33,0,1,16.67,3,50.0
2019,Q de Kock,Mumbai Indians,304,218,139.45,27,17,20.18,87,39.91
2024,Shashank Singh,Punjab Kings,48,35,137.14,6,1,20.0,12,34.29
2014,KL Rahul,Sunrisers Hyderabad,64,56,114.29,6,1,12.5,20,35.71
2013,MC Henriques,Royal Challengers Bangalore,21,9,233.33,4,0,44.44,1,11.11
2022,Ishan Kishan,Mumbai Indians,227,191,118.85,29,4,17.28,83,43.46
2022,RA Bawa,Punjab Kings,1,5,20.0,0,0,0.0,4,80.0
2016,R Ashwin,Rising Pune Supergiants,2,8,25.0,0,0,0.0,6,75.0
2021,DJ Hooda,Punjab Kings,11,17,64.71,1,0,5.88,10,58.82
2021,F du Plessis,Chennai Super Kings,310,215,144.19,36,11,21.86,74,34.42
2019,SP Narine,Kolkata Knight Riders,109,60,181.67,15,6,35.0,28,46.67
2013,RT Ponting,Mumbai Indians,42,47,89.36,3,1,8.51,20,42.55
2020,N Jagadeesan,Chennai Super Kings,3,7,42.86,0,0,0.0,4,57.14
2017,SP Jackson,Kolkata Knight Riders,10,9,111.11,2,0,22.22,5,55.56
2019,RA Tripathi,Rajasthan Royals,51,34,150.0,6,1,20.59,10,29.41
2018,MK Tiwary,Kings XI Punjab,9,13,69.23,0,0,0.0,5,38.46
2022,M Shahrukh Khan,Punjab Kings,19,12,158.33,2,1,25.0,4,33.33
2021,CH Gayle,Punjab Kings,94,69,136.23,13,3,23.19,31,44.93
2024,PD Salt,Kolkata Knight Riders,239,127,188.19,29,12,32.28,42,33.07
2022,SE Rutherford,Royal Challengers Bangalore,5,15,33.33,0,0,0.0,10,66.67
2015,KA Pollard,Mumbai Indians,0,2,0.0,0,0,0.0,2,100.0
2013,S Dhawan,Sunrisers Hyderabad,128,120,106.67,15,3,15.0,57,47.5
2018,KH Pandya,Mumbai Indians,7,9,77.78,0,0,0.0,2,22.22
2018,RA Tripathi,Rajasthan Royals,78,47,165.96,8,4,25.53,16,34.04
2020,BA Stokes,Rajasthan Royals,142,104,136.54,21,3,23.08,44,42.31
2022,KS Sharma,Lucknow Super Giants,4,4,100.0,1,0,25.0,3,75.0
2014,SA Yadav,Kolkata Knight Riders,3,5,60.0,0,0,0.0,4,80.0
2013,PA Patel,Sunrisers Hyderabad,192,150,128.0,28,3,20.67,62,41.33
2024,AA Kulkarni,Lucknow Super Giants,4,4,100.0,1,0,25.0,3,75.0
2014,SPD Smith,Rajasthan Royals,1,3,33.33,0,0,0.0,2,66.67
2020,KH Pandya,Mumbai Indians,3,5,60.0,0,0,0.0,2,40.0
2015,AT Rayudu,Mumbai Indians,6,19,31.58,0,0,0.0,14,73.68
2013,R Dravid,Rajasthan Royals,219,201,108.96,37,1,18.91,102,50.75
2024,SA Yadav,Mumbai Indians,111,70,158.57,13,6,27.14,30,42.86
2013,UBT Chand,Delhi Daredevils,86,79,108.86,10,4,17.72,46,58.23
2013,KC Sangakkara,Sunrisers Hyderabad,75,72,104.17,12,0,16.67,35,48.61
2017,SP Narine,Kolkata Knight Riders,167,82,203.66,23,9,39.02,29,35.37
2017,DR Smith,Gujarat Lions,97,68,142.65,15,2,25.0,27,39.71
2020,V Kohli,Royal Challengers Bangalore,94,86,109.3,10,0,11.63,29,33.72
2016,SS Iyer,Delhi Daredevils,27,33,81.82,2,1,9.09,17,51.52
2017,RG Sharma,Mumbai Indians,69,71,97.18,7,1,11.27,34,47.89
2019,SO Hetmyer,Royal Challengers Bangalore,34,28,121.43,3,2,17.86,13,46.43
2016,PP Chawla,Kolkata Knight Riders,16,14,114.29,3,0,21.43,7,50.0
2014,PA Patel,Royal Challengers Bangalore,108,104,103.85,17,1,17.31,54,51.92
2016,LMP Simmons,Mumbai Indians,7,6,116.67,0,1,16.67,4,66.67
2024,SM Curran,Punjab Kings,51,52,98.08,5,0,9.62,19,36.54
2017,SW Billings,Delhi Daredevils,106,72,147.22,15,1,22.22,18,25.0
2020,SN Khan,Kings XI Punjab,4,2,200.0,1,0,50.0,1,50.0
2015,Yuvraj Singh,Delhi Daredevils,32,27,118.52,6,0,22.22,14,51.85
2020,SR Watson,Chennai Super Kings,140,130,107.69,14,8,16.92,70,53.85
2018,SV Samson,Rajasthan Royals,134,102,131.37,13,3,15.69,36,35.29
2022,Anmolpreet Singh,Mumbai Indians,5,4,125.0,1,0,25.0,2,50.0
2020,Washington Sundar,Royal Challengers Bangalore,1,3,33.33,0,0,0.0,2,66.67
2017,MS Dhoni,Rising Pune Supergiant,1,6,16.67,0,0,0.0,5,83.33
2020,R Parag,Rajasthan Royals,1,11,9.09,0,0,0.0,10,90.91
2023,SN Khan,Delhi Capitals,16,21,76.19,1,1,9.52,12,57.14
2024,Q de Kock,Lucknow Super Giants,92,67,137.31,7,5,17.91,28,41.79
2015,WP Saha,Kings XI Punjab,74,57,129.82,6,5,19.3,27,47.37
2019,V Shankar,Sunrisers Hyderabad,15,25,60.0,2,0,8.0,16,64.0
2015,RR Rossouw,Royal Challengers Bangalore,14,9,155.56,1,1,22.22,3,33.33
2016,AT Rayudu,Mumbai Indians,151,131,115.27,19,3,16.79,56,42.75
2017,SK Raina,Gujarat Lions,154,110,140.0,16,4,18.18,31,28.18
2020,SA Yadav,Mumbai Indians,175,117,149.57,28,3,26.5,43,36.75
2019,KL Rahul,Kings XI Punjab,235,170,138.24,25,12,21.76,76,44.71
2018,AM Rahane,Rajasthan Royals,209,173,120.81,28,2,17.34,61,35.26
2014,MK Pandey,Kolkata Knight Riders,125,116,107.76,14,2,13.79,53,45.69
2017,PJ Cummins,Delhi Daredevils,1,5,20.0,0,0,0.0,4,80.0
2018,AD Nath,Kings XI Punjab,2,7,28.57,0,0,0.0,5,71.43
2013,Mandeep Singh,Kings XI Punjab,157,125,125.6,24,0,19.2,46,36.8
2019,H Klaasen,Royal Challengers Bangalore,6,6,100.0,0,0,0.0,1,16.67
2023,Anuj Rawat,Royal Challengers Bangalore,5,3,166.67,1,0,33.33,1,33.33
2021,N Rana,Kolkata Knight Riders,111,89,124.72,15,4,21.35,41,46.07
2025,MR Marsh,Lucknow Super Giants,297,179,165.92,25,20,25.14,65,36.31
2014,F du Plessis,Chennai Super Kings,90,53,169.81,13,3,30.19,18,33.96
2024,AK Markram,Sunrisers Hyderabad,67,59,113.56,10,0,16.95,25,42.37
2022,GJ Maxwell,Royal Challengers Bangalore,89,55,161.82,11,3,25.45,19,34.55
2016,MC Henriques,Sunrisers Hyderabad,53,61,86.89,5,1,9.84,28,45.9
2013,A Ashish Reddy,Sunrisers Hyderabad,5,6,83.33,1,0,16.67,4,66.67
2022,Mandeep Singh,Delhi Capitals,18,18,100.0,4,0,22.22,11,61.11
2013,MEK Hussey,Chennai Super Kings,286,243,117.7,40,4,18.11,107,44.03
2019,V Kohli,Royal Challengers Bangalore,204,160,127.5,26,3,18.13,57,35.63
2016,MK Pandey,Kolkata Knight Riders,60,46,130.43,6,2,17.39,17,36.96
2018,MP Stoinis,Kings XI Punjab,2,3,66.67,0,0,0.0,1,33.33
2017,Yuvraj Singh,Sunrisers Hyderabad,5,8,62.5,1,0,12.5,6,75.0
2013,KD Karthik,Mumbai Indians,168,164,102.44,19,4,14.02,78,47.56
2021,AD Russell,Kolkata Knight Riders,16,6,266.67,2,1,50.0,1,16.67
2025,YBK Jaiswal,Rajasthan Royals,323,180,179.44,36,20,31.11,69,38.33
2014,DA Miller,Kings XI Punjab,21,22,95.45,2,1,13.64,12,54.55
2023,AS Roy,Kolkata Knight Riders,4,5,80.0,1,0,20.0,4,80.0
2018,MA Agarwal,Kings XI Punjab,45,36,125.0,6,1,19.44,15,41.67
2021,RD Gaikwad,Chennai Super Kings,253,209,121.05,26,9,16.75,89,42.58
2018,RK Singh,Kolkata Knight Riders,3,2,150.0,0,0,0.0,0,0.0
2013,B Chipli,Delhi Daredevils,16,16,100.0,1,1,12.5,7,43.75
2021,SA Yadav,Mumbai Indians,100,81,123.46,16,1,20.99,36,44.44
2015,Harbhajan Singh,Mumbai Indians,15,14,107.14,2,0,14.29,8,57.14
2013,TM Dilshan,Royal Challengers Bangalore,44,61,72.13,8,0,13.11,41,67.21
2014,Y Venugopal Rao,Sunrisers Hyderabad,11,9,122.22,2,0,22.22,4,44.44
2023,RD Gaikwad,Chennai Super Kings,341,215,158.6,29,17,21.4,66,30.7
2015,SV Samson,Rajasthan Royals,68,66,103.03,8,0,12.12,30,45.45
2023,Sanvir Singh,Sunrisers Hyderabad,7,6,116.67,0,1,16.67,4,66.67
2013,STR Binny,Rajasthan Royals,8,9,88.89,1,0,11.11,4,44.44
2022,MS Dhoni,Chennai Super Kings,6,7,85.71,1,0,14.29,5,71.43
2022,A Tomar,Kolkata Knight Riders,4,8,50.0,1,0,12.5,7,87.5
2025,Abhishek Sharma,Sunrisers Hyderabad,277,137,202.19,33,17,36.5,50,36.5
2025,RD Gaikwad,Chennai Super Kings,79,49,161.22,10,3,26.53,19,38.78
2021,Abhishek Sharma,Sunrisers Hyderabad,43,19,226.32,5,2,36.84,4,21.05
2018,AD Russell,Kolkata Knight Riders,1,1,100.0,0,0,0.0,0,0.0
2016,YK Pathan,Kolkata Knight Riders,52,30,173.33,6,3,30.0,10,33.33
2015,G Gambhir,Kolkata Knight Riders,186,159,116.98,24,4,17.61,69,43.4
