season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2022,TG Southee,Kolkata Knight Riders,7,66,10.45,20,30.3,13,19.7,0.443263135,0.324650746,0.361909241,0.243531371,0.570547765,1.136903417,death,TG Southee,2022,18656676.76,6.093815267
2025,B Kumar,Royal Challengers Bengaluru,7,90,10.53,22,24.44,22,24.44,0.460867658,0.325692502,0.31828381,0.294545507,0.568145978,1.13450163,death,B Kumar,2025,112821250,1.00557442
2022,PWH de Silva,Royal Challengers Bengaluru,6,36,7.5,14,38.89,5,13.89,0.38175312,0.225453678,0.439440759,0.18677493,0.558247958,1.12460361,death,PWH de Silva,2022,133706183.5,0.841100674
2015,MJ McClenaghan,Mumbai Indians,8,66,9.27,20,30.3,12,18.18,0.409830214,0.29393937,0.400518191,0.24000002,0.545325025,1.111680677,death,MJ McClenaghan,2015,5236600.118,21.2290542
2025,Sandeep Sharma,Rajasthan Royals,7,93,12.45,19,20.43,22,23.66,0.460867658,0.392606285,0.280525122,0.286659373,0.532418698,1.098774351,death,Sandeep Sharma,2025,27287000,4.026731963
2013,NLTC Perera,Sunrisers Hyderabad,9,112,10.98,34,30.36,29,25.89,0.44465848,0.375722266,0.380441371,0.342446906,0.528097153,1.094452805,death,NLTC Perera,2013,83114359.62,1.316803511
2018,S Kaul,Sunrisers Hyderabad,7,144,8.17,30,20.83,21,14.58,0.411793993,0.271353258,0.275309142,0.227800555,0.523402263,1.089757915,death,S Kaul,2018,56709154.19,1.92166138
2023,Arshdeep Singh,Punjab Kings,7,89,9.64,27,30.34,20,22.47,0.412204722,0.302772609,0.382157903,0.297135989,0.522704613,1.089060265,death,Arshdeep Singh,2023,7098516.794,15.34208197
2018,SN Thakur,Chennai Super Kings,8,94,12.7,28,29.79,26,27.66,0.470621706,0.459377886,0.367637,0.385932426,0.516692777,1.08304843,death,SN Thakur,2018,38801000.24,2.791289974
2025,JR Hazlewood,Royal Challengers Bengaluru,6,71,10.23,27,38.03,18,25.35,0.397855294,0.315237224,0.446249041,0.303745997,0.513438966,1.079794618,death,JR Hazlewood,2025,131187500,0.82309261
2024,G Coetzee,Mumbai Indians,6,42,8.43,15,35.71,7,16.67,0.351322369,0.221102917,0.437462112,0.189242938,0.51300814,1.079363792,death,G Coetzee,2024,55439837.5,1.946910093
2017,CR Woakes,Kolkata Knight Riders,8,84,10.21,22,26.19,18,21.43,0.431815141,0.360416527,0.334289115,0.313211623,0.509879348,1.076235001,death,CR Woakes,2017,65511608.8,1.642815709
2025,YS Chahal,Punjab Kings,6,30,10.4,9,30,6,20,0.397855294,0.321161881,0.370637503,0.249655204,0.504612879,1.070968531,death,YS Chahal,2025,188910000,0.566919978
2020,MP Stoinis,Delhi Capitals,7,52,10.96,13,25,14,26.92,0.425004072,0.354069111,0.338785359,0.337516101,0.496259241,1.062614893,death,MP Stoinis,2020,66689872.57,1.593367707
2021,CH Morris,Rajasthan Royals,9,66,11.64,20,30.3,19,28.79,0.464530714,0.447892079,0.325426169,0.429786437,0.48633116,1.052686812,death,CH Morris,2021,215493944.9,0.488499485
2019,SM Curran,Punjab Kings,8,66,11,18,27.27,16,24.24,0.416666327,0.36818533,0.332138653,0.320441014,0.48123465,1.047590302,death,SM Curran,2019,103986183.8,1.007432203
2017,PJ Cummins,Delhi Capitals,7,73,9.37,23,31.51,13,17.81,0.381578943,0.326767897,0.395247215,0.27270319,0.478424463,1.044780115,death,PJ Cummins,2017,70191009.43,1.488481393
2015,D Wiese,Royal Challengers Bengaluru,7,44,9.27,14,31.82,9,20.45,0.364985178,0.29393937,0.417701151,0.264767309,0.475782171,1.042137823,death,D Wiese,2015,48874934.44,2.132254161
2025,VG Arora,Kolkata Knight Riders,6,54,11.56,18,33.33,15,27.78,0.397855294,0.361588958,0.401993222,0.328314338,0.474251023,1.040606676,death,VG Arora,2025,18891000,5.508478512
2022,M Prasidh Krishna,Rajasthan Royals,6,117,11.28,43,36.75,31,26.5,0.38175312,0.35256043,0.420125573,0.309958876,0.464655518,1.03101117,death,M Prasidh Krishna,2022,124377845.1,0.828934743
2025,M Jansen,Punjab Kings,6,42,11.29,10,23.81,10,23.81,0.397855294,0.352179208,0.312351647,0.288175937,0.463163972,1.029519624,death,M Jansen,2025,73465000,1.401374292
