season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2018,PP Shaw,Delhi Capitals,56,32,175.0,4,3,21.88,6,18.75,0.10957533454538645,0.457852116243344,0.400864590966652,0.23180675744592705,0.25882746921345734,0.3385527323154506,middle,PP Shaw,2018,17908153.956,1.8904948725997572
2025,DA Miller,Lucknow Super Giants,80,66,121.21,8,1,13.64,20,30.3,0.152514739758349,0.15150760703110774,0.19085546794387623,0.5176705762642305,0.10210105225194066,0.18182631535393393,middle,DA Miller,2025,78712500.00000001,0.23100055944600145
2023,Tilak Varma,Mumbai Indians,200,147,136.05,12,13,17.01,54,36.73,0.38641782385560886,0.2579909876099288,0.2931494515928065,0.6314492514091845,0.3188715954041902,0.3985968585061834,middle,Tilak Varma,2023,2366172.2646,16.845639874557737
2025,DP Conway,Chennai Super Kings,71,46,154.35,4,4,17.39,9,19.57,0.13564003325252558,0.290901335432299,0.2554691785069926,0.30634371978690783,0.18560751897572714,0.2653327820777204,middle,DP Conway,2025,65593750.00000001,0.40450924375831593
2019,R Parag,Rajasthan Royals,99,90,110.0,12,1,14.44,35,38.89,0.14405010292817427,0.167261250092853,0.2752204698836746,0.6362999383700387,0.09320256367312249,0.17292782677511576,middle,R Parag,2019,2888505.106,5.98675856296429
2023,RR Rossouw,Delhi Capitals,131,91,143.96,9,7,17.58,33,36.26,0.2526624655870027,0.29603944222399753,0.3046653156457285,0.6208793221733709,0.22769900383127295,0.3074242669332662,middle,RR Rossouw,2023,54421962.0858,0.5648900832509318
2025,N Rana,Rajasthan Royals,115,74,155.41,13,4,22.97,20,27.03,0.2181385983921068,0.2953599157613655,0.35161437982490973,0.4532680766667613,0.24278811407372475,0.32251337717571804,middle,N Rana,2025,44079000.00000001,0.7316712656269834
2016,Sachin Baby,Royal Challengers Bengaluru,46,36,127.78,3,1,11.11,10,27.78,0.09519595894648011,0.26292815542227305,0.22448291519321678,0.4279371924537247,0.11434435833176441,0.19406962143375767,middle,Sachin Baby,2016,1636386.3998999998,11.859645218612016
2018,BA Stokes,Rajasthan Royals,146,115,126.96,10,4,12.17,29,25.22,0.27538396151155614,0.23450338111316957,0.22246979004870462,0.3648935106656646,0.26217343941980376,0.341898702521797,middle,BA Stokes,2018,186543270.375,0.1832811775168799
2022,DP Conway,Chennai Super Kings,129,72,179.17,12,7,26.39,16,22.22,0.2559038665928606,0.4258284051005119,0.43878315939614465,0.2867038129229524,0.3628874840990805,0.4426127472010738,middle,DP Conway,2022,12437784.508000001,3.558614051532929
2015,AD Mathews,Delhi Capitals,40,44,90.91,3,1,9.09,19,43.18,0.03789959743884403,0.07437041503612112,0.16152272667618883,0.7178740874531351,-0.05863946969347772,0.021085793408515546,middle,AD Mathews,2015,130915002.9525,0.016106475906482714
