season,player,team,phase,adj_price,ROI_z,impact_score_pos
2025,Zeeshan Ansari,Sunrisers Hyderabad,bowl_mid,4198000,0.264378198,1.116273692
2023,D Jansen,Mumbai Indians,bowl_mid,2366172.265,0.261632729,0.622645778
2017,MK Tiwary,Lucknow Super Giants,bat_death,7799001.048,0.260603705,1.068285416
2018,Shakib Al Hasan,Sunrisers Hyderabad,bat_death,2984692.326,0.260458275,0.408609027
2025,Ashwani Kumar,Mumbai Indians,bowl_pp,3148500,0.259884577,0.831034311
2023,M Markande,Sunrisers Hyderabad,bowl_death,5915430.661,0.259492138,0.578608983
2020,I Udana,Royal Challengers Bengaluru,bowl_death,6946861.727,0.259296627,0.678986171
2023,Nithish Kumar Reddy,Sunrisers Hyderabad,bowl_pp,2366172.265,0.2585198,0.621262186
2022,Basil Thampi,Mumbai Indians,bowl_mid,3731335.352,0.257777386,0.967412546
2025,P Dubey,Punjab Kings,bowl_mid,3148500,0.257500138,0.815424547
2022,B Sai Sudharsan,Gujarat Titans,bat_mid,2487556.902,0.257035176,0.260804613
2023,SA Yadav,Mumbai Indians,bat_pp,2366172.265,0.256945446,0.464592037
2019,KMA Paul,Delhi Capitals,bowl_death,7221262.765,0.253931538,0.691238416
2019,SN Khan,Punjab Kings,bat_death,3610631.383,0.253699781,0.48160674
2014,SB Jakati,Royal Challengers Bengaluru,bowl_mid,3874036.767,0.253615304,0.988193085
2023,H Sharma,Royal Challengers Bengaluru,bowl_mid,2366172.265,0.253240412,0.602673349
2024,Arshad Khan,Lucknow Super Giants,bowl_pp,2217593.5,0.252976819,0.569767163
2023,Mohit Rathee,Punjab Kings,bowl_mid,2366172.265,0.252380124,0.600625995
2015,J Theron,Rajasthan Royals,bowl_death,5236600.118,0.25230302,0.498054659
2024,Naman Dhir,Mumbai Indians,bowl_mid,2217593.5,0.251481394,0.560906427
2015,GB Hogg,Kolkata Knight Riders,bowl_death,8727666.863,0.251345105,0.826947504
2023,M Ashwin,Rajasthan Royals,bowl_mid,2366172.265,0.250988132,0.59731327
2025,PVD Chameera,Delhi Capitals,bowl_death,7871250,0.250932075,0.744579464
2016,SB Jakati,Gujarat Titans,bowl_mid,3272772.8,0.250532569,0.82467469
2014,VS Malik,Rajasthan Royals,bowl_mid,3874036.767,0.250350113,0.975470513
2022,B Sai Sudharsan,Gujarat Titans,bat_pp,2487556.902,0.246129353,0.468014488
2022,Rasikh Salam,Kolkata Knight Riders,bowl_pp,2487556.902,0.245526307,0.620305748
2020,Arshdeep Singh,Punjab Kings,bowl_mid,2778744.691,0.245466725,0.686031237
2022,VR Aaron,Gujarat Titans,bowl_death,6218892.254,0.245165167,0.574789788
2016,MP Stoinis,Punjab Kings,bowl_death,9000125.199,0.245133125,0.831740686
2023,H Sharma,Royal Challengers Bengaluru,bowl_pp,2366172.265,0.243096411,0.58419745
2018,Shakib Al Hasan,Sunrisers Hyderabad,bat_mid,2984692.326,0.242584991,0.295333818
2025,E Malinga,Sunrisers Hyderabad,bowl_death,12594000,0.242007596,1.149065367
2020,TU Deshpande,Delhi Capitals,bowl_mid,2778744.691,0.238696418,0.667109559
2020,TU Deshpande,Delhi Capitals,bowl_mid,2778744.691,0.238696418,0.667109559
2013,R McLaren,Kolkata Knight Riders,bowl_death,6156619.231,0.237744933,0.551856574
2017,JD Unadkat,Lucknow Super Giants,bowl_pp,4679400.629,0.23743295,1.128407508
2022,Kuldeep Yadav,Delhi Capitals,bat_death,2487556.902,0.237205696,0.310460532
2013,JDP Oram,Mumbai Indians,bowl_death,6156619.231,0.236464539,0.548892513
2021,RM Patidar,Royal Challengers Bengaluru,bat_mid,2652233.169,0.236130838,0.255454816
2019,R Parag,Rajasthan Royals,bowl_pp,2888505.106,0.235964996,0.692238057
2024,MJ Suthar,Gujarat Titans,bowl_pp,2217593.5,0.235191468,0.529710098
2022,SA Yadav,Mumbai Indians,bat_death,6218892.254,0.23518462,0.769612921
2023,KM Asif,Rajasthan Royals,bowl_death,3549258.397,0.23434207,0.313601061
2020,Abdul Samad,Sunrisers Hyderabad,bowl_mid,2778744.691,0.234187368,0.654507651
