season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2021,MM Ali,Chennai Super Kings,224,160,140.0,16,12,17.5,56,35.0,0.5232855472004591,0.3301788893322253,0.3534230407469692,0.5376227831793247,0.4808421560735637,0.560567419175557,middle,MM Ali,2021,92828160.901,0.6038764678031213,0.014804659490331221
2024,PJ Cummins,Sunrisers Hyderabad,47,32,146.88,3,3,18.75,10,31.25,0.0916123037027925,0.2725275811455341,0.2981479269429984,0.5393210742567913,0.1068134878431356,0.1865387509451289,middle,PJ Cummins,2024,227303333.75,0.0820659987109093,0.0020119332867348625
2015,SN Khan,Royal Challengers Bengaluru,47,34,138.24,4,1,14.71,9,26.47,0.0556695638766793,0.3081461998545199,0.2767313488375692,0.3614963096354913,0.120026518898115,0.1997517820001083,middle,SN Khan,2015,8727666.863499999,2.288719140226248,0.056110329424361935
2018,DL Chahar,Chennai Super Kings,49,26,188.46,1,4,19.23,4,15.38,0.0966791080035732,0.5204306752535885,0.3521780593052142,0.1624864547642399,0.27141080988713,0.3511360729891233,middle,DL Chahar,2018,11938769.304,2.941141285571853,0.07210513667514241
2025,Washington Sundar,Gujarat Titans,76,50,152.0,7,3,20.0,13,26.0,0.1450148702002052,0.2810167469669158,0.3004403210589216,0.4329822740412586,0.1738085296537715,0.2535337927557648,middle,Washington Sundar,2025,33584000.0,0.7549243471765269,0.018507755305598117
2013,AM Nayar,Lucknow Super Giants,44,45,97.78,3,0,6.67,13,28.89,0.085945467688911,0.1676924279925659,0.152761160119825,0.3801919117212323,0.0735779522286171,0.1533032153306104,middle,AM Nayar,2013,83114359.61769001,0.1844485309587604,0.004521947517296765
2020,PJ Cummins,Kolkata Knight Riders,48,62,77.42,3,1,6.45,34,54.84,0.0821307113383506,0.0393684473461369,0.1375224010040586,0.904643904169788,-0.0759091973586243,0.0038160657433689,middle,PJ Cummins,2020,215352713.5215,0.0017720072716836,4.344260071452141e-05
2019,N Pooran,Punjab Kings,120,67,179.1,7,12,28.36,27,40.3,0.20222418295686,0.5164860241704262,0.5611180284665981,0.6641072063762271,0.2961273180346901,0.3758525811366834,middle,N Pooran,2019,60658607.226,0.6196195368224384,0.01519061719623699
2014,KD Karthik,Delhi Capitals,224,172,130.23,16,9,14.53,51,29.65,0.4320382816594241,0.2879206669682797,0.2962462622586272,0.430469097064363,0.405162258456876,0.4848875215588692,middle,KD Karthik,2014,242127297.9625,0.2002614020142278,0.004909616492695609
2025,JP Inglis,Punjab Kings,107,63,169.84,10,5,23.81,14,22.22,0.2031388592758193,0.356055495146676,0.3660878509910478,0.3585353479010648,0.2708382365826548,0.350563499684648,middle,JP Inglis,2025,27287000.000000004,1.2847271582975337,0.03149642208408892
2018,SR Watson,Chennai Super Kings,221,110,200.91,17,14,28.18,16,14.55,0.4135578173166975,0.5783135177259171,0.5166099303881833,0.1454135018782458,0.5785795948731206,0.6583048579751138,middle,SR Watson,2018,59693846.52,1.1028018738155088,0.027036334577721453
2013,DJG Sammy,Sunrisers Hyderabad,107,93,115.05,5,6,11.83,34,36.56,0.2226408643023625,0.2645469978014449,0.2728162013817454,0.5426976364562021,0.2035005037674322,0.2832257668694254,middle,DJG Sammy,2013,52331263.46299,0.5412171389091913,0.013268500892295334
2023,SM Curran,Punjab Kings,140,125,112.0,10,4,11.2,47,37.6,0.2701088166655165,0.1423063689666474,0.1757684513340741,0.6510148651010097,0.1637296812690203,0.2434549443710136,middle,SM Curran,2023,218870934.4755,0.1112321948797936,0.0027269729114438534
2014,AR Patel,Punjab Kings,42,36,116.67,6,0,16.67,13,36.11,0.0533515038203978,0.2205169316982882,0.3407146720225948,0.5845514501751188,0.0600689269352999,0.1397941900372932,middle,AR Patel,2014,14527637.87775,0.9622637294077716,0.02359089584266235
2020,RV Uthappa,Rajasthan Royals,63,59,106.78,4,2,10.17,20,33.9,0.1164001231967972,0.1831531832503238,0.2170744188281148,0.51614062144729,0.0882528130086999,0.1679780761106932,middle,RV Uthappa,2020,41681170.359,0.4030071004818188,0.009880138095999157
2022,B Sai Sudharsan,Gujarat Titans,91,75,121.33,9,1,13.33,21,28.0,0.1755475127251447,0.2347132238718723,0.247512492986805,0.3963756306871359,0.1810793498016112,0.2608046129036045,middle,B Sai Sudharsan,2022,2487556.9016,10.484367723844011,0.2570351758988137
2020,SO Hetmyer,Delhi Capitals,90,60,150.0,4,6,16.67,17,28.33,0.1780850645420011,0.394814500885847,0.3560766005099335,0.4127994903697201,0.2495678239273977,0.329293087029391,middle,SO Hetmyer,2020,107676356.76075,0.3058174486355061,0.0074974327277919535
2022,Abhishek Sharma,Sunrisers Hyderabad,144,92,156.52,7,9,17.39,23,25.0,0.2876234799616958,0.3509881759368071,0.3069733586546396,0.3394525418821964,0.3288994001048874,0.4086246632068807,middle,Abhishek Sharma,2022,6840781.479400001,5.973362318872389,0.14644318806625953
2019,JM Bairstow,Sunrisers Hyderabad,217,125,173.6,15,13,22.4,30,24.0,0.4709330288036465,0.4886895515593313,0.4387078668894267,0.3426472996380201,0.542565401960998,0.6222906650629912,middle,JM Bairstow,2019,31773556.166,1.9585175225959983,0.04801509344016032
2024,DJ Mitchell,Chennai Super Kings,149,104,143.27,11,6,16.35,27,25.96,0.3024971992814766,0.2576129978675725,0.2545505194938799,0.4147909500530576,0.2872335726736175,0.3669588357756107,middle,DJ Mitchell,2024,155231545.0,0.2363945007283221,0.005795456977155577
2022,SA Yadav,Mumbai Indians,162,134,120.9,10,7,12.69,44,32.84,0.325687016004298,0.2332924159892943,0.2381393516007424,0.4882115472924385,0.2805228984618875,0.3602481615638807,middle,SA Yadav,2022,6218892.254000001,5.79280275087848,0.14201658251960553
2022,AR Patel,Delhi Capitals,75,65,115.38,5,3,12.31,26,40.0,0.1417132584650538,0.2150532078222456,0.2325740489027678,0.6240679859068942,0.0995877817178914,0.1793130448198847,middle,AR Patel,2022,2487556.9016,7.208399723622416,0.17672141417708007
