name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,Unnamed: 0
RG Sharma,india,28.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,6,66,4.71,88.0,0,5,3,3,7.64,18.67,14.67,40,7.02,27.15,23.2,delhi-capitals,2014,19000000,58.0
MA Agarwal,india,23.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,4,2665,22.78,133.25,13,264,98,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2014,16000000,59.0
LR Shukla,india,33.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,7,405,15.0,115.72,0,33,15,0,0.0,0.0,0.0,15,8.54,29.8,20.93,delhi-capitals,2014,15000000,60.0
JDS Neesham,new zealand,24.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,21,944,22.48,154.51,0,72,51,1,92,10.22,98.93,0,6,2,39,9.1,27.64,18.23,8,9.28,41.75,27.0,delhi-capitals,2014,10000000,61.0
WD Parnell,south africa,25.0,,bowler,left-handed-bat,left-arm-fast-medium,13,174,17.4,96.67,0,13,4,4,65,6.5,81.25,0,4,1,59,8.3,25.64,18.54,35,7.78,26.77,20.66,delhi-capitals,2014,10000000,62.0
S Nadeem,india,25.0,,bowler,right-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,8,39,2.79,44.83,0,2,0,0,0.0,0.0,0.0,48,7.56,37.17,29.48,delhi-capitals,2014,8500000,63.0
S Kaul,india,24.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,8,20,5.0,55.56,0,1,0,4,8.69,21.0,14.5,58,8.63,29.98,20.84,delhi-capitals,2014,4500000,64.0
R Shukla,india,24.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,3,19,19.0,82.61,0,2,0,0,0.0,0.0,0.0,5,10.4,41.6,24.0,delhi-capitals,2014,4000000,65.0
J Yadav,india,24.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,1,40,10.0,111.12,0,2,1,0,0.0,0.0,0.0,8,6.85,55.63,48.75,delhi-capitals,2014,1000000,66.0
BR Sharath,india,21.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2014,1000000,67.0
Mukesh Kumar,united states of america,23.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,4,172,24.57,96.09,0,12,0,0,0,0.0,0.0,0,0,0,6,8.64,20.17,14.0,0,0.0,0.0,0.0,delhi-capitals,2014,1000000,68.0
MG Johnson,australia,33.0,6.20109,bowler,left-handed-bat,left-arm-fast,7,109,10.9,114.74,0,8,3,17,167,12.85,101.83,0,10,7,38,7.29,20.97,17.26,61,8.29,27.9,20.2,punjab-kings,2014,65000000,69.0
GJ Bailey,australia,32.0,5.84018,batsman,right-handed-bat,right-arm-medium,7,473,24.89,136.71,2,37,20,10,663,24.56,121.88,2,59,19,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2014,32500000,70.0
V Sehwag,india,36.0,,batsman,right-handed-bat,right-arm-offbreak,0,394,21.89,145.39,2,43,16,5,2728,27.56,155.45,16,334,106,0,20.0,0.0,0.0,6,10.37,39.17,22.67,punjab-kings,2014,32000000,71.0
R Dhawan,india,24.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,1,0.0,50.0,0,0,0,13,210,19.09,112.3,0,18,7,1,10.5,42.0,24.0,25,8.08,35.64,26.48,punjab-kings,2014,30000000,72.0
WP Saha,india,30.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,24,2934,24.25,127.57,13,296,87,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2014,22000000,73.0
CA Pujara,india,26.0,,batsman,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,3,390,20.53,99.75,1,50,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2014,19000000,74.0
BE Hendricks,south africa,24.0,,bowler,left-handed-bat,left-arm-fast-medium,2,18,6.0,78.27,0,0,1,2,1,1.0,33.34,0,0,0,25,9.2,25.08,16.36,9,9.4,26.11,16.67,punjab-kings,2014,18000000,75.0
L Balaji,india,33.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,7,36,4.5,73.47,0,2,1,10,7.56,12.1,9.6,76,8.05,26.7,19.91,punjab-kings,2014,18000000,76.0
NLTC Perera,sri lanka,25.0,6.1,bowling-allrounder,left-handed-bat,right-arm-fast-medium,22,1204,23.15,151.64,3,88,64,8,422,19.18,137.46,0,23,26,51,9.35,33.67,21.61,31,8.73,32.77,22.52,punjab-kings,2014,16000000,28.0
Sandeep Sharma,india,21.0,,bowler,right-handed-bat,right-arm-fast-medium,1,1,0.0,100.0,0,0,0,21,54,9.0,77.15,0,4,0,1,10.43,73.0,42.0,137,7.89,27.07,20.6,punjab-kings,2014,8500000,79.0
Mandeep Singh,india,23.0,,batsman,right-handed-bat,right-arm-medium,1,87,43.5,119.18,1,11,1,16,1706,20.8,122.92,6,176,38,0,0.0,0.0,0.0,0,13.0,0.0,0.0,punjab-kings,2014,8000000,80.0
AR Patel,india,20.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,15,535,18.45,139.33,1,41,23,36,1653,21.47,130.88,3,107,79,71,7.3,22.13,18.18,123,7.28,30.55,25.2,punjab-kings,2014,7500000,81.0
SN Thakur,india,23.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,3,69,23.0,181.58,0,5,4,12,307,12.28,138.92,1,27,13,33,9.15,23.39,15.33,94,9.23,30.52,19.85,punjab-kings,2014,2000000,82.0
Arshdeep Singh,india,26.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,4,36,9.0,76.6,0,2,1,0,0.0,0.0,0.0,18,9.07,34.61,22.89,punjab-kings,2014,2000000,83.0
Sandeep Sharma,india,21.0,,bowler,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,1,5,5.0,166.67,0,1,0,0,0.0,0.0,0.0,4,8.68,41.25,28.5,punjab-kings,2014,1000000,84.0
JH Kallis,south africa,39.0,5.11,batting-allrounder,right-handed-bat,right-arm-fast-medium,4,666,35.05,119.36,5,56,20,11,2427,28.55,109.23,17,255,44,12,7.24,27.75,23.0,65,7.9,35.28,26.8,kolkata-knight-riders,2014,55000000,85.0
RV Uthappa,india,29.0,,wk-batsman,right-handed-bat,right-arm-medium,2,249,24.9,118.01,1,26,6,17,4952,27.51,130.36,27,481,182,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2014,50000000,86.0
YK Pathan,india,32.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,5,236,18.15,146.59,0,11,17,44,3204,29.13,142.98,13,262,158,13,8.62,33.69,23.46,42,7.4,33.69,27.31,kolkata-knight-riders,2014,32500000,87.0
Shakib Al Hasan,bangladesh,27.0,,batting-allrounder,left-handed-bat,left-arm-orthodox,16,2551,23.19,121.25,13,258,53,12,793,19.83,124.49,2,73,21,149,6.81,20.91,18.42,63,7.44,29.19,23.56,kolkata-knight-riders,2014,28000000,88.0
M Morkel,south africa,30.0,,bowler,left-handed-bat,right-arm-fast,5,22,7.33,122.23,0,3,1,12,126,11.45,140.0,0,11,5,47,7.51,25.34,20.26,77,7.69,27.13,21.16,kolkata-knight-riders,2014,28000000,89.0
Ashwani Kumar,india,30.0,,bowler,right-handed-bat,right-arm-fast-medium,1,2,0.0,50.0,0,0,0,18,310,11.07,113.14,0,21,9,10,7.84,24.7,18.9,105,8.39,28.25,20.2,kolkata-knight-riders,2014,28000000,90.0
UT Yadav,india,27.0,,bowler,right-handed-bat,right-arm-fast,1,22,22.0,104.77,0,2,0,31,208,9.9,103.49,0,16,9,12,9.33,23.33,15.0,144,8.49,29.98,21.18,kolkata-knight-riders,2014,26000000,91.0
CA Lynn,australia,24.0,,batsman,right-handed-bat,left-arm-orthodox,1,291,19.4,131.68,0,28,14,3,1329,34.08,140.64,10,132,66,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2014,13000000,92.0
PJ Cummins,australia,21.0,6.29952,bowler,right-handed-bat,right-arm-fast,12,158,10.53,118.8,0,11,7,15,515,19.81,149.71,3,33,34,66,7.44,23.58,19.0,63,8.75,30.52,20.94,kolkata-knight-riders,2014,10000000,93.0
RN ten Doeschate,netherlands,34.0,5.11,batting-allrounder,right-handed-bat,right-arm-fast-medium,10,533,41.0,132.92,3,27,19,8,326,23.29,138.73,1,26,15,13,7.0,18.85,16.15,2,7.23,47.0,39.0,kolkata-knight-riders,2014,10000000,94.0
SA Yadav,india,24.0,,batsman,right-handed-bat,right-arm-offbreak,11,2598,38.21,167.08,21,237,146,23,3594,32.09,145.33,24,385,130,2,5.0,2.5,3.0,0,8.0,0.0,0.0,kolkata-knight-riders,2014,7000000,95.0
AD Russell,west indies,26.0,,bowling-allrounder,right-handed-bat,right-arm-fast,24,1063,22.15,164.05,3,63,89,20,2484,29.22,174.93,11,170,209,60,9.27,30.68,19.85,115,9.36,23.01,14.76,kolkata-knight-riders,2014,6000000,96.0
MS Bisla,india,30.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,1,798,21.0,113.68,4,93,23,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2014,6000000,97.0
Virat Singh,india,22.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,10,8.71,29.6,20.4,kolkata-knight-riders,2014,4000000,98.0
Kuldeep Yadav,india,18.0,,bowler,left-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2,9.33,42.0,27.0,kolkata-knight-riders,2014,4000000,99.0
DB Das,india,28.0,,batsman,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,8,304,21.71,116.48,0,23,16,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2014,2000000,100.0
MEK Hussey,australia,39.0,5.9058,batsman,left-handed-bat,right-arm-medium,11,721,37.95,136.3,4,58,25,7,1977,38.76,122.65,15,198,52,0,5.0,0.0,0.0,0,0.0,0.0,0.0,mumbai-indians,2014,50000000,101.0
CJ Anderson,united states of america,24.0,,batting-allrounder,left-handed-bat,left-arm-fast-medium,6,697,24.03,126.04,3,40,35,7,538,24.45,127.19,3,40,31,16,8.13,36.56,27.0,11,10.46,47.09,27.0,mumbai-indians,2014,45000000,102.0
PP Ojha,india,28.0,,bowler,left-handed-bat,left-arm-orthodox,1,10,0.0,166.67,0,0,1,11,16,1.33,35.56,0,0,0,10,6.29,13.2,12.6,89,7.37,26.2,21.34,mumbai-indians,2014,32500000,103.0
Z Khan,india,36.0,,bowler,right-handed-bat,left-arm-fast-medium,2,13,6.5,130.0,0,0,1,18,117,8.36,82.98,0,11,2,17,7.64,26.35,20.71,102,7.59,27.27,21.57,mumbai-indians,2014,26000000,104.0
JJ Bumrah,india,21.0,,bowler,right-handed-bat,right-arm-fast,5,8,2.67,57.15,0,1,0,23,68,9.71,87.18,0,5,1,89,6.28,17.74,16.96,165,7.3,22.52,18.5,mumbai-indians,2014,12000000,105.0
Jalaj S Saxena,india,28.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,9.0,0.0,0.0,mumbai-indians,2014,9000000,106.0
JR Hazlewood,australia,23.0,6.43076,bowler,left-handed-bat,right-arm-fast-medium,7,29,9.67,107.41,0,2,1,6,19,0.0,67.86,0,1,0,67,7.49,22.1,17.7,35,8.06,23.14,17.23,mumbai-indians,2014,5000000,107.0
M de Lange,south africa,24.0,,bowler,right-handed-bat,right-arm-fast,0,0,0.0,0.0,0,0,0,0,1,1.0,50.0,0,0,0,7,9.77,32.57,20.0,5,9.39,33.8,21.6,mumbai-indians,2014,3000000,108.0
K Santokie,west indies,30.0,,bowler,left-handed-bat,left-arm-medium,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,18,6.81,15.44,13.61,3,11.25,30.0,16.0,mumbai-indians,2014,3000000,109.0
BR Dunk,australia,27.0,,wk-batsman,left-handed-bat,right-arm-offbreak,0,99,19.8,143.48,0,8,6,0,40,13.33,114.29,0,7,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,mumbai-indians,2014,2000000,110.0
CM Gautam,india,28.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,3,169,16.9,112.67,0,17,6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,mumbai-indians,2014,2000000,111.0
P Suyal,india,25.0,,bowler,right-handed-bat,left-arm-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2,9.44,75.5,48.0,mumbai-indians,2014,1000000,113.0
S Gopal,india,21.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,8,180,12.86,106.51,0,19,2,0,0.0,0.0,0.0,52,8.16,25.92,19.06,mumbai-indians,2014,1000000,115.0
SPD Smith,australia,25.0,,batsman,right-handed-bat,right-arm-legbreak,11,1094,24.86,125.46,5,96,26,21,2485,34.51,128.1,11,225,60,17,7.79,22.24,17.12,0,0.0,0.0,0.0,rajasthan-royals,2014,40000000,116.0
BJ Hodge,australia,40.0,5.84018,batting-allrounder,right-handed-bat,right-arm-offbreak,4,183,26.14,127.09,0,9,7,21,1400,33.33,125.23,6,122,43,1,8.6,43.0,30.0,17,7.77,17.82,13.76,rajasthan-royals,2014,24000000,117.0
R Bhatia,india,35.0,,bowling-allrounder,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,19,342,11.4,120.43,0,24,13,0,0.0,0.0,0.0,71,7.41,28.45,23.04,rajasthan-royals,2014,17000000,118.0
