season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2023,Abhishek Sharma,Sunrisers Hyderabad,19,8,237.50,1,2,37.50,2,25.00
2015,SN Thakur,Punjab Kings,7,6,116.67,1,0,16.67,2,33.33
2025,JJ Bumrah,Mumbai Indians,0,1,0.00,0,0,0.00,1,100.00
2020,S Nadeem,Sunrisers Hyderabad,7,8,87.50,1,0,12.50,4,50.00
2022,Simarjeet Singh,Chennai Super Kings,5,5,100.00,0,0,0.00,1,20.00
2013,M Rawat,Lucknow Super Giants,3,5,60.00,0,0,0.00,2,40.00
2016,KL Rahul,Royal Challengers Bengaluru,32,19,168.42,2,2,21.05,0,0.00
2013,GH Vihari,Sunrisers Hyderabad,36,34,105.88,3,0,8.82,11,32.35
2019,CH Gayle,Punjab Kings,31,14,221.43,3,2,35.71,2,14.29
2018,KA Pollard,Mumbai Indians,23,21,109.52,1,1,9.52,9,42.86
2018,GJ Maxwell,Delhi Capitals,35,21,166.67,2,2,19.05,7,33.33
2018,V Kohli,Royal Challengers Bengaluru,67,33,203.03,1,6,21.21,6,18.18
2023,Umran Malik,Sunrisers Hyderabad,19,7,271.43,1,2,42.86,3,42.86
2021,K Rabada,Delhi Capitals,13,6,216.67,2,0,33.33,1,16.67
2013,R Shukla,Rajasthan Royals,1,2,50.00,0,0,0.00,1,50.00
2016,D Wiese,Royal Challengers Bengaluru,5,4,125.00,0,0,0.00,0,0.00
2022,TS Mills,Mumbai Indians,0,3,0.00,0,0,0.00,3,100.00
2022,DA Warner,Delhi Capitals,27,16,168.75,5,0,31.25,6,37.50
2022,HV Patel,Royal Challengers Bengaluru,34,28,121.43,3,2,17.86,13,46.43
2013,UBT Chand,Delhi Capitals,1,4,25.00,0,0,0.00,3,75.00
2015,Shakib Al Hasan,Kolkata Knight Riders,4,7,57.14,0,0,0.00,3,42.86
2023,TA Boult,Rajasthan Royals,2,5,40.00,0,0,0.00,3,60.00
2023,Abdul Samad,Sunrisers Hyderabad,113,65,173.85,7,9,24.62,22,33.85
2021,SV Samson,Rajasthan Royals,83,52,159.62,6,4,19.23,12,23.08
2023,JO Holder,Rajasthan Royals,1,2,50.00,0,0,0.00,1,50.00
2023,F du Plessis,Royal Challengers Bengaluru,48,22,218.18,3,4,31.82,5,22.73
2014,RA Jadeja,Chennai Super Kings,77,56,137.50,3,3,10.71,10,17.86
