Unnamed: 0,id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,inflation,adj_price
781,980,M Siddharth,india,26.0,,bowler,right-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,7.89,71.0,54.0,Lucknow Super Giants,2024,24000000,1.0495,25188000.0
37,275,JD Unadkat,india,25.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,Kolkata Knight Riders,2016,16000000,1.55980021,24956803.35
443,644,SW Billings,england,30.0,,wk-batsman,right-handed-bat,,5,478,17.07,129.9,2,41,16,1,503,19.35,129.64,3,40,20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Delhi Capitals,2021,20000000,1.243778451,24875569.02
623,650,Harmeet Singh,india,41.0,,bowler,right-handed-bat,right-arm-offbreak,5,108,13.5,124.14,0,11,4,35,833,15.15,137.92,1,79,42,25,6.21,25.32,24.48,150,7.08,26.87,22.77,Kolkata Knight Riders,2021,20000000,1.243778451,24875569.02
302,502,PA Patel,india,33.0,,wk-batsman,left-handed-bat,,0,36,18.0,112.5,0,4,1,11,2848,22.6,120.79,13,365,49,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Royal Challengers Bengaluru,2018,17000000,1.444252553,24552293.4
706,503,MM Ali,england,31.0,,batting-allrounder,left-handed-bat,right-arm-offbreak,17,1229,21.19,142.42,7,88,68,6,1162,22.78,141.54,6,95,67,51,8.31,27.14,19.59,35,7.07,25.51,21.66,Royal Challengers Bengaluru,2018,17000000,1.444252553,24552293.4
217,173,MEK Hussey,australia,40.0,5.9058,batsman,left-handed-bat,right-arm-medium,11,721,37.95,136.3,4,58,25,7,1977,38.76,122.65,15,198,52,0,5.0,0.0,0.0,0,0.0,0.0,0.0,Chennai Super Kings,2015,15000000,1.6363864,24545796.0
345,174,IK Pathan,india,31.0,,bowling-allrounder,left-handed-bat,left-arm-fast-medium,7,172,24.57,119.45,0,9,7,29,1139,21.49,120.41,1,87,37,28,8.03,22.07,16.5,80,7.78,33.11,25.54,Chennai Super Kings,2015,15000000,1.6363864,24545796.0
431,228,EJG Morgan,england,29.0,5.9,batsman,left-handed-bat,right-arm-medium,20,2458,28.58,136.18,14,186,120,13,1405,22.66,122.61,5,112,64,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Sunrisers Hyderabad,2015,15000000,1.6363864,24545796.0
303,139,PA Patel,india,29.0,,wk-batsman,left-handed-bat,,0,36,18.0,112.5,0,4,1,11,2848,22.6,120.79,13,365,49,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Royal Challengers Bengaluru,2014,14000000,1.745533373,24437467.22
