name,matched_name
rasikh dar salam,Rasikh Salam
jaydev unadkat,JD Unadkat
varun aaron,VR Aaron
ashton turner,AJ Turner
liam livingstone,LS Livingstone
shashank singh,Simarjeet Singh
riyan parag,R Parag
manan vohra,M Vohra
shimron hetmyer,SO Hetmyer
akshdeep nath,AD Nath
prayas barman,P Ray Barman
himmat singh,Harmeet Singh
heinrich klaasen,H Klaasen
devdutt padikkal,D Padikkal
milind kumar,Mukesh Kumar
jonny bairstow,JM Bairstow
wriddhiman saha,WP Saha
sam curran,SM Curran
josh hazlewood,JR Hazlewood
ravisrinivasan sai kishore,R Sai Kishore
shimron hetmyer,SO Hetmyer
marcus stoinis,MP Stoinis
alex carey,AT Carey
jason roy,JJ Roy
chris woakes,CR Woakes
mohit sharma,MM Sharma
tushar deshpande,TU Deshpande
lalit yadav,Lalit Yadav
sheldon cottrell,SS Cottrell
chris jordan,CJ Jordan
james neesham,JDS Neesham
ishan porel,IC Porel
pat cummins,PJ Cummins
eoin morgan,EJG Morgan
rahul tripathi,RA Tripathi
chris green,CJ Green
nikhil naik,NS Naik
pravin tambe,PV Tambe
manimaran siddharth,M Siddharth
nathan coulter-nile,NM Coulter-Nile
chris lynn,CA Lynn
mohsin khan,M Shahrukh Khan
robin uthappa,RV Uthappa
jaydev unadkat,JD Unadkat
yashasvi jaiswal,YBK Jaiswal
kartik tyagi,Kartik Tyagi
tom curran,TK Curran
andrew tye,AJ Tye
anuj rawat,Anuj Rawat
david miller,DA Miller
akash maharaj singh,Arshdeep Singh
chris morris,CH Morris
aaron finch,AJ Finch
kane richardson,KW Richardson
dale steyn,DW Steyn
isuru udana,I Udana
shahbaz ahmed,Shahbaz Ahmed
josh philippe,JR Philippe
pavan deshpande,TU Deshpande
mitchell marsh,MR Marsh
priyam garg,PK Garg
virat singh,Virat Singh
fabian allen,FA Allen
sanjay yadav,SA Yadav
abdul samad,Abdul Samad
krishnappa gowtham,K Gowtham
moeen ali,MM Ali
cheteshwar pujara,CA Pujara
bhagath varma,Tilak Varma
harishankar reddy,A Ashish Reddy
tom curran,TK Curran
steven smith,SPD Smith
sam billings,SW Billings
umesh yadav,UT Yadav
ripal patel,RV Patel
vishnu vinod,Vishnu Vinod
manimaran siddharth,M Siddharth
shakib al hasan,Shakib Al Hasan
harbhajan singh,Harmeet Singh
ben cutting,BCJ Cutting
karun nair,KK Nair
pawan negi,P Negi
venkatesh iyer,VR Iyer
sheldon jackson,SP Jackson
vaibhav arora,VG Arora
nathan coulter-nile,NM Coulter-Nile
adam milne,AF Milne
james neesham,JDS Neesham
marco jansen,M Jansen
arjun tendulkar,Arjun Tendulkar
jhye richardson,JA Richardson
riley meredith,RP Meredith
shahrukh khan,SN Khan
moises henriques,MC Henriques
dawid malan,DJ Malan
fabian allen,FA Allen
jalaj saxena,Jalaj S Saxena
saurabh kumar,Sumit Kumar
utkarsh singh,Karanveer Singh
chris morris,CH Morris
chetan sakariya,C Sakariya
mustafizur rahman,Mujeeb Ur Rahman
liam livingstone,LS Livingstone
kc cariappa,KC Cariappa
akash maharaj singh,Arshdeep Singh
kuldeep yadav,Kuldeep Yadav
kyle jamieson,KA Jamieson
daniel christian,DT Christian
sachin baby,Sachin Baby
rajat patidar,RM Patidar
suyash prabhudessai,SS Prabhudessai
srikar bharat,KS Bharat
mujeeb ur rahman,Mujeeb Ur Rahman
jagadeesha suchith,J Suchith
robin uthappa,RV Uthappa
dwayne bravo,DM Bravo
deepak chahar,DL Chahar
n jagadeesan,N Jagadeesan
km asif,KM Asif
tushar deshpande,TU Deshpande
chris jordan,CJ Jordan
maheesh theekshana,M Theekshana
rs hangargekar,RS Hangargekar
simarjeet singh,Simarjeet Singh
devon conway,DP Conway
