name,team,year,price
varun aaron,punjab-kings,2017,28000000
eoin morgan,punjab-kings,2017,20000000
matt henry,punjab-kings,2017,5000000
daren sammy,punjab-kings,2017,3000000
rahul tewatia,punjab-kings,2017,2500000
rinku singh,punjab-kings,2017,1000000
chris woakes,kolkata-knight-riders,2017,42000000
nathan coulter-nile,kolkata-knight-riders,2017,35000000
rishi dhawan,kolkata-knight-riders,2017,5500000
darren bravo,kolkata-knight-riders,2017,5000000
rovman powell,kolkata-knight-riders,2017,3000000
sayan ghosh,kolkata-knight-riders,2017,1000000
sanjay yadav,kolkata-knight-riders,2017,1000000
ishank jaggi,kolkata-knight-riders,2017,1000000
karn sharma,mumbai-indians,2017,32000000
krishnappa gowtham,mumbai-indians,2017,20000000
mitchell johnson,mumbai-indians,2017,20000000
asela gunaratne,mumbai-indians,2017,3000000
nicholas pooran,mumbai-indians,2017,3000000
kulwant khejroliya,mumbai-indians,2017,1000000
ben stokes,lucknow-super-giants,2017,145000000
daniel christian,lucknow-super-giants,2017,10000000
manoj tiwary,lucknow-super-giants,2017,5000000
lockie ferguson,lucknow-super-giants,2017,5000000
jaydev unadkat,lucknow-super-giants,2017,3000000
rahul chahar,lucknow-super-giants,2017,1000000
saurabh kumar,lucknow-super-giants,2017,1000000
milind tandon,lucknow-super-giants,2017,1000000
rahul tripathi,lucknow-super-giants,2017,1000000
tymal mills,royal-challengers-bengaluru,2017,120000000
aniket choudhary,royal-challengers-bengaluru,2017,20000000
pawan negi,royal-challengers-bengaluru,2017,10000000
praveen dubey,royal-challengers-bengaluru,2017,1000000
rashid khan,sunrisers-hyderabad,2017,40000000
eklavya dwivedi,sunrisers-hyderabad,2017,7500000
chris jordan,sunrisers-hyderabad,2017,5000000
mohammad nabi,sunrisers-hyderabad,2017,3000000
ben laughlin,sunrisers-hyderabad,2017,3000000
pravin tambe,sunrisers-hyderabad,2017,1000000
tanmay agarwal,sunrisers-hyderabad,2017,1000000
dwayne bravo,chennai-super-kings,2018,64000000
karn sharma,chennai-super-kings,2018,50000000
shane watson,chennai-super-kings,2018,40000000
shardul thakur,chennai-super-kings,2018,26000000
murali vijay,chennai-super-kings,2018,20000000
harbhajan singh,chennai-super-kings,2018,20000000
faf du plessis,chennai-super-kings,2018,16000000
sam billings,chennai-super-kings,2018,10000000
imran tahir,chennai-super-kings,2018,10000000
deepak chahar,chennai-super-kings,2018,8000000
mitchell santner,chennai-super-kings,2018,5000000
lungi ngidi,chennai-super-kings,2018,5000000
km asif,chennai-super-kings,2018,4000000
n jagadeesan,chennai-super-kings,2018,2000000
kanishk seth,chennai-super-kings,2018,2000000
manoj singh,chennai-super-kings,2018,2000000
dhruv shorey,chennai-super-kings,2018,2000000
kshitiz sharma,chennai-super-kings,2018,2000000
chaitanya bishnoi,chennai-super-kings,2018,2000000
kagiso rabada,delhi-capitals,2018,42000000
amit mishra,delhi-capitals,2018,40000000
shahbaz nadeem,delhi-capitals,2018,32000000
vijay shankar,delhi-capitals,2018,32000000
rahul tewatia,delhi-capitals,2018,30000000
mohammed shami,delhi-capitals,2018,30000000
gautam gambhir,delhi-capitals,2018,28000000
colin munro,delhi-capitals,2018,19000000
daniel christian,delhi-capitals,2018,15000000
jason roy,delhi-capitals,2018,15000000
naman ojha,delhi-capitals,2018,14000000
prithvi shaw,delhi-capitals,2018,12000000
gurkeerat singh mann,delhi-capitals,2018,7500000
avesh khan,delhi-capitals,2018,7000000
jayant yadav,delhi-capitals,2018,5000000
harshal patel,delhi-capitals,2018,2000000
sandeep lamichhane,delhi-capitals,2018,2000000
sayan ghosh,delhi-capitals,2018,2000000
kl rahul,punjab-kings,2018,110000000
ravichandran ashwin,punjab-kings,2018,76000000
andrew tye,punjab-kings,2018,72000000
aaron finch,punjab-kings,2018,62000000
marcus stoinis,punjab-kings,2018,62000000
karun nair,punjab-kings,2018,56000000
mujeeb ur rahman,punjab-kings,2018,40000000
ankit singh,punjab-kings,2018,30000000
david miller,punjab-kings,2018,30000000
mohit sharma,punjab-kings,2018,24000000
yuvraj singh,punjab-kings,2018,20000000
chris gayle,punjab-kings,2018,20000000
ben dwarshuis,punjab-kings,2018,14000000
akshdeep nath,punjab-kings,2018,10000000
manoj tiwary,punjab-kings,2018,10000000
mayank agarawal,punjab-kings,2018,10000000
manzoor dar,punjab-kings,2018,2000000
pardeep sahu,punjab-kings,2018,2000000
mayank dagar,punjab-kings,2018,2000000
chris lynn,kolkata-knight-riders,2018,96000000
dinesh karthik,kolkata-knight-riders,2018,74000000
robin uthappa,kolkata-knight-riders,2018,64000000
kuldip yadav,kolkata-knight-riders,2018,58000000
nitish rana,kolkata-knight-riders,2018,34000000
kamlesh nagarkoti,kolkata-knight-riders,2018,32000000
shivam mavi,kolkata-knight-riders,2018,30000000
mitchell johnson,kolkata-knight-riders,2018,20000000
shubman gill,kolkata-knight-riders,2018,18000000
vinay kumar,kolkata-knight-riders,2018,10000000
rinku singh,kolkata-knight-riders,2018,8000000
cameron delport,kolkata-knight-riders,2018,3000000
javon searles,kolkata-knight-riders,2018,3000000
apoorv wankhade,kolkata-knight-riders,2018,2000000
