season,player,team,runs,strike_rate,fours,sixes,boundary_pct,dot_pct,impact_score_pos,phase,adj_price,ROI_z
2022,MR Marsh,Delhi Capitals,143,152.13,11,10,22.34,41.49,0.791622878,bat_pp,80845599.3,0.01103035
2024,Abhishek Sharma,Sunrisers Hyderabad,352,228.57,25,33,37.66,28.57,1.353730838,bat_pp,2217593.5,0.802809967
2018,RV Uthappa,Kolkata Knight Riders,188,131.47,16,11,18.88,44.76,0.720500484,bat_pp,95510154.43,0.008066961
2025,SK Rasheed,Chennai Super Kings,63,136.96,9,2,23.91,50,0.409988995,bat_pp,3148500,0.169773471
2021,SPD Smith,Delhi Capitals,53,98.15,4,1,9.26,38.89,0.334691293,bat_pp,29174564.85,0.013245213
2019,LS Livingstone,Rajasthan Royals,61,169.44,5,5,27.78,41.67,0.683642264,bat_pp,7221262.765,0.12291657
2019,SN Khan,Punjab Kings,42,113.51,4,1,13.51,35.14,0.371407644,bat_pp,3610631.383,0.133718149
2025,WG Jacks,Mumbai Indians,122,141.86,12,6,20.93,34.88,0.595183302,bat_pp,55098750,0.012362156
2022,LS Livingstone,Punjab Kings,83,188.64,7,6,29.55,34.09,0.875666404,bat_pp,143034521.8,0.006192972
2022,KH Pandya,Lucknow Super Giants,31,172.22,4,1,27.78,27.78,0.737115606,bat_pp,102611722.2,0.007592198
2014,MEK Hussey,Mumbai Indians,120,117.65,14,3,16.67,44.12,0.658235167,bat_pp,96850919.19,0.00708184
2023,H Klaasen,Sunrisers Hyderabad,46,176.92,7,1,30.77,30.77,0.699527546,bat_pp,62112021.95,0.012968829
2016,KD Karthik,Gujarat Titans,41,77.36,5,0,9.43,50.94,0.161206159,bat_pp,37636887.2,0.003769003
2018,MA Agarwal,Punjab Kings,45,125,6,1,19.44,41.67,0.44813998,bat_pp,14923461.63,0.037707051
2018,MA Agarwal,Punjab Kings,45,125,6,1,19.44,41.67,0.44813998,bat_pp,2984692.326,0.196043433
2014,JH Kallis,Kolkata Knight Riders,41,80.39,5,0,9.8,54.9,0.185639816,bat_pp,106536011.1,0.000419904
2018,Ishan Kishan,Mumbai Indians,60,90.91,4,3,10.61,53.03,0.24042669,bat_pp,92525462.11,0.001548251
2021,KS Bharat,Royal Challengers Bengaluru,78,109.86,5,3,11.27,39.44,0.432798943,bat_pp,2652233.169,0.21322825
2014,CM Gautam,Mumbai Indians,63,128.57,6,4,20.41,51.02,0.557952524,bat_pp,3874036.767,0.187972744
2022,D Padikkal,Rajasthan Royals,107,115.05,15,2,18.28,46.24,0.537424394,bat_pp,96392829.94,0.005472311
2025,RA Tripathi,Chennai Super Kings,37,100,4,1,13.51,51.35,0.184551317,bat_pp,35683000,0.00494057
2025,V Suryavanshi,Rajasthan Royals,132,194.12,11,12,33.82,42.65,0.788800305,bat_pp,11544500,0.088190548
2018,KK Nair,Punjab Kings,47,109.3,6,1,16.28,44.19,0.368456078,bat_pp,83571385.13,0.003934676
2018,JJ Roy,Delhi Capitals,57,116.33,5,4,18.37,51.02,0.382312328,bat_pp,22385192.45,0.020635992
2024,SD Hope,Delhi Capitals,94,138.24,10,5,22.06,45.59,0.506523896,bat_pp,8315975.625,0.078413304
2018,Shakib Al Hasan,Sunrisers Hyderabad,37,119.35,5,1,19.35,48.39,0.37599596,bat_pp,29846923.26,0.014728772
