season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2024,Arshdeep Singh,Punjab Kings,3,54,10.33,11,20.37,12,22.22,0.1547917365196424,0.3347466766732847,0.3230252293169932,0.255889411514234,0.0101199499330869,0.9381250385306042,middle,Arshdeep Singh,2024,2217593.5,42.30374225621622,0.42060668496166864
2024,AS Joseph,Royal Challengers Bengaluru,1,18,11.0,4,22.22,4,22.22,0.0629669451086748,0.3560244677155636,0.348652345557874,0.255889411514234,-0.1369513351449232,0.7910537534525941,middle,AS Joseph,2024,127511626.25,0.6203777464979151,0.006168131079234156
2024,Azmatullah Omarzai,Gujarat Titans,1,6,5.0,2,33.33,0,0.0,0.0629669451086748,0.1654770852473943,0.5025535679558125,0.0583494373531597,0.1011649323812086,1.029170020978726,middle,Azmatullah Omarzai,2024,5543983.75,18.56372722915586,0.18457061607216502
2024,DJ Mitchell,Chennai Super Kings,1,36,11.67,4,11.11,9,25.0,0.0629669451086748,0.3773022587578425,0.1947511231599355,0.2806041337540084,-0.2050868791460827,0.7229182094514345,middle,DJ Mitchell,2024,155231545.0,0.4657031594006453,0.004630272680495499
2024,G Coetzee,Mumbai Indians,4,93,11.48,26,27.96,26,27.96,0.2007041322251261,0.3712682583130172,0.4281656683809314,0.3069190898078688,0.0711074742399811,0.9991125628374984,middle,G Coetzee,2024,55439837.5,1.802156369663779,0.017918013300949876
2024,HV Patel,Punjab Kings,9,150,9.0,33,22.0,25,16.67,0.4302661107525449,0.2925086735595071,0.345604796599499,0.2065488689132456,0.4737638924784122,1.4017689810759295,middle,HV Patel,2024,130283618.125,1.075936484762811,0.010697542438314629
2024,JA Richardson,Delhi Capitals,0,18,9.0,5,27.78,3,16.67,0.0170545494031911,0.2925086735595071,0.42567221923317,0.2065488689132456,-0.1220332227555171,0.8059718658420001,middle,JA Richardson,2024,55439837.5,1.4537774679480258,0.014454241843716246
2024,JD Unadkat,Sunrisers Hyderabad,6,120,9.45,30,25.0,22,18.33,0.2925289236360937,0.3067997272446198,0.3871622823955221,0.2213065807542619,0.2652409722262488,1.193246060823766,middle,JD Unadkat,2024,17740748.0,6.726018885019764,0.06687371743813138
2024,Kartik Tyagi,Gujarat Titans,0,18,14.0,2,11.11,7,38.89,0.0170545494031911,0.4512981589496482,0.1947511231599355,0.4040888430743198,-0.3578491347218153,0.570155953875702,middle,Kartik Tyagi,2024,6652780.5,8.570190371915952,0.085209467757957
2024,LH Ferguson,Royal Challengers Bengaluru,5,84,9.07,21,25.0,13,15.48,0.2466165279306099,0.2947317263549692,0.3871622823955221,0.1959695453645652,0.211094186457683,1.1390992750552005,middle,LH Ferguson,2024,22175935.0,5.136645986088976,0.05107131248449008
2024,M Siddharth,Lucknow Super Giants,0,6,9.0,2,33.33,1,16.67,0.0170545494031911,0.2925086735595071,0.5025535679558125,0.2065488689132456,-0.0989688181387244,0.8290362704587928,middle,M Siddharth,2024,26611122.0,3.115375106915044,0.03097474422464587
2024,Mohammad Nabi,Mumbai Indians,2,36,11.17,7,19.44,8,22.22,0.1088793408141586,0.3614233102188284,0.3101424087202261,0.255889411514234,-0.0839547966406037,0.8440502919569135,middle,Mohammad Nabi,2024,16631951.25,5.074872330189842,0.050457125388031016
2024,N Burger,Rajasthan Royals,2,18,8.0,5,27.78,3,16.67,0.1088793408141586,0.260750776481479,0.42567221923317,0.2065488689132456,0.0411102820233566,0.969115370620874,middle,N Burger,2024,5543983.75,17.48048721500805,0.17380045799468216
