season,player,runs,wickets,allrounder_score,adj_price,price_per_allrounder_score_adj
2018,MP Stoinis,99,3,1.0662883114103117,89543658.2854495,83976966.95
2018,Washington Sundar,65,4,1.0393001556884738,46216081.69571588,44468464.13
2018,Imran Tahir,2,6,1.01386247057753,14442525.529911213,14245053.89
2018,MM Ali,77,3,0.940718355546291,24552293.400849055,26099515.61
2018,Shivam Mavi,13,5,0.9095729451688008,43327576.58973363,47635076.24
2018,BCJ Cutting,96,2,0.882090632269933,31773556.165804666,36020738.69
2018,Basil Thampi,3,5,0.8524956925033367,13720399.253415652,16094391.3
2018,DJM Short,115,1,0.823462908993575,57770102.11964485,70155074.98
2018,DT Christian,26,4,0.8166988702931643,21663788.294866815,26526041.71
2018,DS Kulkarni,6,4,0.7025443649622364,10831894.147433408,15418092.7
2018,Mohammed Shami,7,3,0.5411775868880433,43327576.58973363,80061661.16
2018,S Nadeem,6,3,0.5354698616214969,46216081.69571588,86309398.55
2018,M Ashwin,1,3,0.5069312352887649,31773556.165804666,62678237.11
2018,MG Johnson,16,2,0.4254726109462213,28885051.059822425,67889331.34
2018,JPR Scantlebury-Searles,8,2,0.3798108088138502,4332757.658973363,11407673.4
2018,Mohammad Nabi,18,1,0.2698135581385746,14442525.529911213,53527797.6
2018,P Negi,3,1,0.1841976791403787,14442525.529911213,78407749.75
2019,Mohammed Shami,1,19,3.2567531479922094,66689872.576790586,20477410.95
2019,AR Patel,110,10,2.3717784108670736,69468617.2674902,29289674.34
2019,I Sharma,10,13,2.2842723392082265,15283095.798847841,6690575.17
2019,SM Curran,95,10,2.2816611633198214,100034808.86518589,43842973.04
2019,JD Unadkat,1,10,1.716926412023708,116707277.00938351,67974536.47
2019,KMA Paul,18,9,1.6479674330252043,6946861.72674902,4215412.02
2019,R Parag,160,2,1.3034343596081348,2778744.690699608,2131863.93
2019,GC Viljoen,3,7,1.2156664663738408,10420292.590123529,8571670.67
2019,HF Gurney,1,7,1.2036508333675404,10420292.590123529,8657238.71
2019,M Ashwin,3,5,0.8734827472697292,2778744.690699608,3181224.47
2019,VR Aaron,3,4,0.7023908877176736,33344936.288395293,47473475.06
2019,SE Rutherford,73,1,0.6096624642820164,27787446.90699608,45578411.88
2020,MP Stoinis,352,13,4.053928003091436,63653596.045423865,15701708.56
2020,SM Curran,186,13,3.061725195927412,72936412.1353815,23821998.21
2020,PJ Cummins,146,12,2.672641729700936,205548070.5633479,76908202.2
2020,CV Varun,10,17,2.60974494512782,53044663.37118656,20325612.08
2020,CH Morris,34,11,1.8532052386804263,132611658.4279664,71557998.9
2020,CJ Jordan,29,9,1.5233227070545943,39783497.52838992,26116263.71
2020,Kartik Tyagi,4,9,1.3738945734455543,17239515.59563563,12547917.38
2020,I Udana,15,8,1.28964449978152,6630582.92139832,5141403.64
2020,TK Curran,83,3,0.946096760938048,13261165.84279664,14016712.02
2020,NM Coulter-Nile,25,5,0.8994203958690998,106089326.74237312,117952991.98
2020,Abdul Samad,113,1,0.8254136163648716,2652233.168559328,3213217.13
2020,JD Unadkat,9,4,0.6537879379073023,39783497.52838992,60850767.08
2020,TU Deshpande,21,3,0.5755149895876294,2652233.168559328,4608451.94
2020,JDS Neesham,19,2,0.4135622864468942,6630582.92139832,16032851.98
2020,Shahbaz Ahmed,1,2,0.3059740302483856,2652233.168559328,8668164.31
2020,AJ Tye,6,1,0.1858612045181815,13261165.84279664,71349832.67
2020,DW Steyn,1,1,0.1559755777963736,26522331.68559328,170041567.15
2021,MM Ali,357,6,3.293633677061529,87064491.55840975,26434175.78
2021,VR Iyer,370,3,2.8991341085228326,2487556.90166885,858034.44
2021,Arshdeep Singh,2,18,2.890158672847662,2487556.90166885,860699.08
2021,CH Morris,67,15,2.8357139243590317,202113998.26059407,71274466.91
2021,C Sakariya,16,14,2.3423608622287557,14925341.4100131,6371922.3
2021,KA Jamieson,65,9,1.8636083457162196,186566767.62516373,100110502.32
2021,NM Coulter-Nile,4,7,1.1450223680336034,62188922.54172125,54312408.45
2021,Shakib Al Hasan,47,4,0.9467082726007144,39800910.4267016,42041367.52
2021,MC Henriques,31,4,0.8420760202776172,52238694.935045846,62035604.48
2021,TK Curran,21,4,0.7766808625756815,65298368.66880731,84073616.1
2021,DT Christian,14,4,0.7309042521843266,59701365.6400524,81681513.63
2021,AF Milne,16,3,0.5841455258743095,39800910.4267016,68135265.38
2021,JA Richardson,15,3,0.577606010104116,174128983.1168195,301466709.26
2021,Mujeeb Ur Rahman,1,2,0.3262150314710018,18656676.762516372,57191346.08
2021,FA Allen,6,1,0.1990748524715655,9328338.38125819,46858446.79
2022,PWH de Silva,38,26,4.353874260148444,127181759.216875,29211169.55
2022,YS Chahal,5,27,4.304928239260998,76900598.59625,17863386.87
2022,K Rabada,48,23,3.941832968472879,109435467.233125,27762583.58
2022,LS Livingstone,437,6,3.6938338747266606,136054905.20875,36832978.91
2022,Kuldeep Yadav,48,21,3.6252751519747193,23661722.645,6526876.35
2022,JR Hazlewood,18,20,3.2786099445106145,91689175.249375,27965868.71
2022,HV Patel,43,19,3.2773196189407208,127181759.216875,38806638.96
2022,SN Thakur,120,15,3.127728820596296,127181759.216875,40662655.4
2022,R Ashwin,191,12,3.0987396706579453,59154306.6125,19089795.5
2022,M Prasidh Krishna,6,19,3.0449765165755247,118308613.225,38853703.0
2022,UT Yadav,55,16,2.8778374138794907,23661722.645,8222049.84
2022,KH Pandya,183,10,2.7319455077024455,97604605.910625,35727142.3
2022,RD Chahar,77,14,2.6994295501390146,62112021.943125,23009313.93
2022,JO Holder,58,14,2.5801182273028327,103520036.571875,40122206.6
2022,Mukesh Choudhary,6,16,2.570139791828285,2366172.2645,920639.52
2022,AK Markram,381,1,2.550784908279883,30760239.4385,12059127.11
2022,DR Sams,38,13,2.296248452910404,30760239.4385,13395867.25
2022,TG Southee,2,14,2.228463802101455,17746291.98375,7963464.32
2022,MR Marsh,251,4,2.2092810030953527,76900598.59625,34807975.3
2022,AR Patel,182,6,2.092550331398958,2366172.2645,1130760.02
2022,B Kumar,24,12,2.0500559383609795,49689617.5545,24238176.44
2022,Shahbaz Ahmed,219,4,2.0083356172659945,28394067.174,14138108.66
2022,M Theekshana,7,12,1.9433037021391324,8281602.92575,4261610.22
2022,LH Ferguson,5,12,1.9307446155247971,118308613.225,61276158.57
2022,OC McCoy,8,11,1.79130433719722,8873145.991875,4953455.32
2022,Arshdeep Singh,21,10,1.7146594919413167,5915430.66125,3449915.68
2022,PVD Chameera,43,9,1.694530536449921,23661722.645,13963585.86
2022,Lalit Yadav,161,4,1.6441221054502815,7690059.859625,4677304.58
2022,Washington Sundar,101,6,1.5839073235183936,103520036.571875,65357382.36
2022,PJ Cummins,63,7,1.5035635860951102,85773744.58812499,57046968.54
2022,M Ashwin,12,9,1.4998646939277296,18929378.116,12620723.85
2022,A Badoni,161,2,1.3275642889521213,2366172.2645,1782341.0
2022,JD Unadkat,59,6,1.3201665046173603,15380119.71925,11650136.3
2022,R Parag,183,1,1.3074353334607256,44957273.0255,34385848.29
2022,OF Smith,51,6,1.2699301581600206,70985167.935,55896906.99
2022,D Pretorius,44,6,1.2259733550098484,5915430.66125,4825089.09
2022,R Dhawan,37,6,1.1820165518596761,6506973.727375,5504976.83
2022,D Brevis,161,1,1.1692853807030414,35492583.9675,30354081.69
2022,M Jansen,9,7,1.1644682475080672,49689617.5545,42671509.22
2022,AS Joseph,5,7,1.1393500742793974,28394067.174,24921284.35
2022,J Suchith,2,7,1.120511444357895,2366172.2645,2111689.51
2022,R Shepherd,58,3,0.8390502365629527,91689175.249375,109277336.75
2022,Shivam Mavi,3,5,0.8102331711669024,85773744.58812499,105863037.51
2022,MJ Santner,22,4,0.7712655857540042,22478636.51275,29145130.97
2022,Simarjeet Singh,7,4,0.6770724361464923,2366172.2645,3494710.67
2022,HR Shokeen,43,2,0.5865781787063609,2366172.2645,4033856.61
2022,VG Arora,5,3,0.5062344412830773,23661722.645,46740641.72
2022,PJ Sangwan,2,3,0.4873958113615749,2366172.2645,4854724.25
2022,CJ Jordan,11,2,0.3856327928770021,42591100.761,110444706.85
2022,Fazalhaq Farooqi,2,2,0.3291169031124949,5915430.66125,17973645.85
2022,DJ Willey,18,1,0.2713106877780943,23661722.645,87212644.81
2022,S Gopal,9,1,0.2147947980135871,8873145.991875,41309873.77
2022,FA Allen,8,1,0.2085152547064197,8873145.991875,42553941.7
2022,Kartik Tyagi,7,1,0.2022357113992522,47323445.29,234001428.15
2022,SA Abbott,7,1,0.2022357113992522,28394067.174,140400856.89
2023,SM Curran,276,10,3.228674170184589,205127398.75,63533013.22
2023,Arshdeep Singh,2,17,2.8187699902389456,6652780.5,2360171.47
2023,M Markande,21,12,2.101663743234734,5543983.75,2637902.36
2023,Sandeep Sharma,2,10,1.662806338107298,2217593.5,1333645.08
2023,I Sharma,1,10,1.657091492004826,5543983.75,3345611.14
2023,A Zampa,10,8,1.378249777746602,16631951.25,12067443.45
2023,Sikandar Raza,139,3,1.2897766020142953,5543983.75,4298406.21
2023,A Mishra,19,7,1.2645457280786132,5543983.75,4384170.24
2023,Mukesh Kumar,7,7,1.1959675748489509,60983821.25,50991199.54
2023,VG Arora,3,5,0.8428328612585926,6652780.5,7893356.8
2023,JO Holder,12,4,0.729128811590604,63755813.125,87441083.26
2023,AU Rashid,22,2,0.4560019434348518,22175935.0,48631229.14
2023,AJ Hosein,16,1,0.2565752022297852,11087967.5,43215273.35
2024,HV Patel,13,24,4.347540537695585,123316250.0,28364600.38
2024,PJ Cummins,136,18,4.019164820547882,215147500.0,53530399.87
2024,Arshdeep Singh,4,19,3.402673471609837,2099000.0,616867.89
2024,Abhishek Sharma,484,2,3.26389456168991,2099000.0,643096.75
2024,T Stubbs,378,3,2.803921029015206,5247500.0,1871486.37
2024,G Coetzee,14,13,2.3940472453176116,52475000.0,21918949.22
2024,DJ Mitchell,318,1,2.086450939609658,146930000.0,70421018.4
2024,Rasikh Salam,28,9,1.7657758118637363,2099000.0,1188712.62
2024,LH Ferguson,1,9,1.6032380795902663,20990000.0,13092253.9
2024,JD Unadkat,24,8,1.563558583424304,16792000.0,10739603.99
2024,UT Yadav,12,8,1.4913195913027617,60871000.0,40816871.42
2024,SN Thakur,21,5,1.0110861421971629,41980000.0,41519706.63
2024,Azmatullah Omarzai,42,4,0.9593668140109431,5247500.0,5469753.51
2024,SH Johnson,6,4,0.7426498376463166,104950000.0,141318283.1
2024,Arshad Khan,78,1,0.6416710971788142,2099000.0,3271146.24
2024,Mohammad Nabi,35,2,0.5609522731422065,15742500.0,28063884.85
2024,A Kamboj,2,2,0.3622950448079655,2099000.0,5793620.5
